Date,F1,F2,F3,F4,F5,F6,Like
6/1,Chocolate Covered Strawberries,Butterscotch Parfait (SF),Passion Orange Guava (Sorbet),Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,10
5/31,Chocolate Covered Strawberries,Butterscotch Parfait (SF),Passion Orange Guava (Sorbet),Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,7
5/30,Chocolate Covered Strawberries,Butterscotch Parfait (SF),Wild Berry (Tart),Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,15
5/29,Cookies & Cream,Butterscotch Parfait (SF),Wild Berry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,8
5/28,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,7
5/27,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,5
5/26,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,11
5/25,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,9
5/24,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,9
5/23,Pistachio Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,7
5/22,Mounds Bar,Kahlua (SF),Pistachio Cream,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,6
5/21,Mounds Bar,Kahlua (SF),Pistachio Cream,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,10
5/20,Mounds Bar,Kahlua (SF),Pistachio Cream,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,7
5/19,Mounds Bar,Kahlua (SF),Pistachio Cream,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,11
5/18,Mounds Bar,English Toffee (SF),NY Cheesecake,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,15
5/17,Hawaiian Coconut,English Toffee (SF),Strawberry Shortcake,Peanut Butter Chocolate,Ghirardelli Chocolate,Vanilla Classic,15
5/16,NY Cheesecake,English Toffee (SF),Peanut Butter Chocolate,Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,15
5/15,NY Cheesecake,English Toffee (SF),Peanut Butter Chocolate,Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,19
5/14,NY Cheesecake,Hazelnut (SF),Peanut Butter (Low Fat),Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,8
5/13,Vanilla Cappuccino,Hazelnut (SF),Peanut Butter (Low Fat),Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,10
5/12,Vanilla Cappuccino,Hazelnut (SF),Peanut Butter (Low Fat),Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,15
5/11,Vanilla Cappuccino,Hazelnut (SF),Peanut Butter (Low Fat),Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,17
5/10,Vanilla Cappuccino,Maple Walnut (SF),Peanut Butter (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,13
5/9,Rocky Road,Maple Walnut (SF),Dulce de Leche (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,11
5/8,Rocky Road,Maple Walnut (SF),Dulce de Leche (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,6
5/7,Rocky Road,Maple Walnut (SF),Dulce de Leche (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,12
5/6,Thin Mint Cookie,Maple Walnut (SF),Dulce de Leche (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,5
5/5,Thin Mint Cookie,Pecans & Pralines (SF),Creme Brulee,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,9
5/4,Thin Mint Cookie,Pecans & Pralines (SF),Creme Brulee,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,10
5/3,Mango,Pecans & Pralines (SF),Cookies & Cream,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,15
5/2,Mango,Pecans & Pralines (SF),Cookies & Cream,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,14
5/1,Mango,Pecans & Pralines (SF),Cookies & Cream,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,22
4/30,Maine Blueberry,Caramel Custard (SF),Cookies & Cream,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,12
4/29,Maine Blueberry,Caramel Custard (SF),White Cake Batter,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,7
4/28,Maine Blueberry,Caramel Custard (SF),White Cake Batter,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,10
4/27,Maine Blueberry,Caramel Custard (SF),White Cake Batter,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,8
4/26,Fresh Strawberry,Butter Pecan (SF),Pistachio Cream,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,9
4/25,Fresh Strawberry,Butter Pecan (SF),Pistachio Cream,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,14
4/24,Fresh Strawberry,Butter Pecan (SF),Pistachio Cream,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,8
4/23,Fresh Strawberry,Butter Pecan (SF),Pistachio Cream,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,13
4/22,Fresh Strawberry,Butter Pecan (SF),Raspberry Chocolate Truffle,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,20
4/21,Wild Mountain Berries,NY Cheesecake (SF),Raspberry Chocolate Truffle,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,12
4/20,Wild Mountain Berries,NY Cheesecake (SF),Raspberry Chocolate Truffle,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,14
4/19,Wild Mountain Berries,NY Cheesecake (SF),Raspberry Chocolate Truffle,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,13
4/18,Wild Mountain Berries,NY Cheesecake (SF),Salted Caramel Pretzel (Low Fat),Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,12
4/17,Chocolate Covered Banana,Yellow Cake Batter (SF),Salted Caramel Pretzel (Low Fat),Pomegranate Raspberry (Tart),Belgian Chocolate,Vanilla Classic,17
4/16,Chocolate Covered Banana,Yellow Cake Batter (SF),Caramel Pecan Toffee,Pomegranate Raspberry (Tart),Belgian Chocolate,Vanilla Classic,17
4/15,Chocolate Covered Banana,Yellow Cake Batter (SF),Caramel Pecan Toffee,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,12
4/14,Chocolate Covered Banana,Yellow Cake Batter (SF),Caramel Pecan Toffee,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,9
4/13,Chocolate Covered Banana,Yellow Cake Batter (SF),Caramel Pecan Toffee,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,9
4/12,Chocolate Covered Banana,Yellow Cake Batter (SF),Caramel Pecan Toffee,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,11
4/11,Peanut Butter Chocolate,Creme Brulee (SF),Apple Pie,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,13
4/10,Peanut Butter Chocolate,Creme Brulee (SF),Apple Pie,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,9
4/9,Peanut Butter Chocolate,Creme Brulee (SF),Apple Pie,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,10
4/8,Peanut Butter Chocolate,English Toffee (SF),Apple Pie,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,14
4/7,Chocolate Covered Strawberries,English Toffee (SF),Peanut Butter (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,8
4/6,Chocolate Covered Strawberries,English Toffee (SF),Peanut Butter (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,7
4/5,Chocolate Covered Strawberries,English Toffee (SF),Peanut Butter (Low Fat),Orange Creamsicle,Ghirardelli Chocolate,Vanilla Classic,12
4/4,Thin Mint Cookie,English Toffee (SF),Cookies & Cream,Orange Creamsicle,Ghirardelli Chocolate,Vanilla Classic,11
4/3,Thin Mint Cookie,Vanilla Cappuccino (SF),Cookies & Cream,Orange Creamsicle,Ghirardelli Chocolate,Vanilla Classic,10
4/2,Thin Mint Cookie,Vanilla Cappuccino (SF),Cookies & Cream,Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,10
4/1,Irish Mint,Vanilla Cappuccino (SF),Dulce de Leche (Low Fat),Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,10
3/31,Irish Mint,Vanilla Cappuccino (SF),Dulce de Leche (Low Fat),Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,13
3/30,Irish Mint,White Chocolate Macadamia (SF),Dulce de Leche (Low Fat),Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,6
3/29,Pistachio Cream,White Chocolate Macadamia (SF),Dulce de Leche (Low Fat),Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,8
3/28,Pistachio Cream,White Chocolate Macadamia (SF),Dulce de Leche (Low Fat),Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,7
3/27,Pistachio Cream,White Chocolate Macadamia (SF),Dulce de Leche (Low Fat),Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,13
3/26,NY Cheesecake,White Chocolate Macadamia (SF),Pistachio Cream,Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,8
3/25,NY Cheesecake,Caramel Custard (SF),Costa Rican Cappuccino,Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,10
3/24,NY Cheesecake,Caramel Custard (SF),Costa Rican Cappuccino,Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,7
3/23,NY Cheesecake,Caramel Custard (SF),Costa Rican Cappuccino,Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,12
3/22,Maine Blueberry,Caramel Custard (SF),Costa Rican Cappuccino,NY Cheesecake,Ghirardelli Chocolate,Vanilla Classic,11
3/21,Maine Blueberry,Butterscotch Parfait (SF),Costa Rican Cappuccino,Rocky Road,Ghirardelli Chocolate,Vanilla Classic,11
3/20,Maine Blueberry,Butterscotch Parfait (SF),White Cake Batter,Rocky Road,Ghirardelli Chocolate,Vanilla Classic,5
3/19,Maine Blueberry,Butterscotch Parfait (SF),White Cake Batter,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,13
3/18,Georgia Peach,Butterscotch Parfait (SF),White Cake Batter,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,16
3/17,Fresh Blackberry,Butter Pecan (SF),White Cake Batter,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,6
3/16,Fresh Blackberry,Butter Pecan (SF),White Cake Batter,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,14
3/15,Fresh Blackberry,Butter Pecan (SF),Hawaiian Coconut,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,20
3/14,Red Raspberry,Butter Pecan (SF),Hawaiian Coconut,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,9
3/13,Red Raspberry,Butter Pecan (SF),Hawaiian Coconut,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,12
3/12,Red Raspberry,Butter Pecan (SF),Chocolate Covered Strawberries,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,9
3/11,Red Raspberry,Caramel Macadamia Cappuccino (SF),Chocolate Covered Strawberries,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,12
3/10,Red Raspberry,Caramel Macadamia Cappuccino (SF),Chocolate Covered Strawberries,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,12
3/9,Red Raspberry,Caramel Macadamia Cappuccino (SF),Chocolate Covered Strawberries,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,15
3/8,Georgia Peach,Caramel Macadamia Cappuccino (SF),Peanut Butter Chocolate,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,12
3/7,Georgia Peach,Caramel Macadamia Cappuccino (SF),Peanut Butter Chocolate,Hazelnut,Ghirardelli Chocolate,Vanilla Classic,12
3/6,Fresh Strawberry,Yellow Cake Batter (SF),Peanut Butter Chocolate,Hazelnut,Ghirardelli Chocolate,Vanilla Classic,18
3/5,Fresh Strawberry,Yellow Cake Batter (SF),Peanut Butter Chocolate,Hazelnut,Ghirardelli Chocolate,Vanilla Classic,7
3/4,Fresh Strawberry,Yellow Cake Batter (SF),Thin Mint Cookie,Apple Pie,Ghirardelli Chocolate,Vanilla Classic,13
3/3,Fresh Strawberry,Yellow Cake Batter (SF),Thin Mint Cookie,Apple Pie,Ghirardelli Chocolate,Vanilla Classic,13
3/2,Fresh Strawberry,Yellow Cake Batter (SF),Thin Mint Cookie,Apple Pie,Ghirardelli Chocolate,Vanilla Classic,12
3/1,Fresh Strawberry,Caramel Pecan Toffee (SF),Thin Mint Cookie,Apple Pie,Ghirardelli Chocolate,Vanilla Classic,18
2/28,Fresh Strawberry,Caramel Pecan Toffee (SF),Irish Mint,Apple Pie,Ghirardelli Chocolate,Vanilla Classic,17
2/27,Fresh Strawberry,Pistachio Cream (SF),Irish Mint,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,18
2/26,Fresh Strawberry,Pistachio Cream (SF),Irish Mint,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,19
2/25,NY Cheesecake,Pistachio Cream (SF),Passion Orange Guava (Sorbet),Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,18
2/24,Vanilla Cappuccino,Pistachio Cream (SF),Passion Orange Guava (Sorbet),NY Cheesecake,Ghirardelli Chocolate,Vanilla Classic,17
2/23,Vanilla Cappuccino,Caramel Custard (SF),Passion Orange Guava (Sorbet),NY Cheesecake,Ghirardelli Chocolate,Vanilla Classic,11
2/22,Vanilla Cappuccino,Caramel Custard (SF),Passion Orange Guava (Sorbet),NY Cheesecake,Ghirardelli Chocolate,Vanilla Classic,20
2/21,Vanilla Cappuccino,Caramel Custard (SF),Fresh Blackberry,NY Cheesecake,Ghirardelli Chocolate,Vanilla Classic,20
2/20,Chocolate Covered Banana,Caramel Custard (SF),Fresh Blackberry,,Ghirardelli Chocolate,Vanilla Classic,13
2/19,Chocolate Covered Banana,Pecans & Pralines (SF),Fresh Blackberry,,Ghirardelli Chocolate,Vanilla Classic,9
2/18,Chocolate Covered Banana,Pecans & Pralines (SF),Fresh Blackberry,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,8
2/17,Chocolate Covered Banana,Pecans & Pralines (SF),Fresh Blackberry,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,15
2/16,Chocolate Covered Banana,Pecans & Pralines (SF),Mango,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,14
2/15,White Cake Batter,Kahlua (SF),Mango,Dulce de Leche (Low Fat),Ghirardelli Chocolate,Vanilla Classic,11
2/14,White Cake Batter,Kahlua (SF),Mango,Dulce de Leche (Low Fat),Ghirardelli Chocolate,Vanilla Classic,18
2/13,White Cake Batter,Kahlua (SF),Red Raspberry,Dulce de Leche (Low Fat),Ghirardelli Chocolate,Vanilla Classic,11
2/12,Chocolate Covered Strawberries,Kahlua (SF),Red Raspberry,Dulce de Leche (Low Fat),Ghirardelli Chocolate,Vanilla Classic,14
2/11,Chocolate Covered Strawberries,English Toffee (SF),Cookies & Cream,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,14
2/10,Chocolate Covered Strawberries,English Toffee (SF),Cookies & Cream,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,17
2/9,Chocolate Covered Strawberries,English Toffee (SF),Cookies & Cream,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,16
2/8,Thin Mint Cookie,English Toffee (SF),Costa Rican Cappuccino,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,16
2/7,Thin Mint Cookie,English Toffee (SF),Costa Rican Cappuccino,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,21
2/6,Thin Mint Cookie,Maple Walnut (SF),Costa Rican Cappuccino,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,16
2/5,Irish Mint,Maple Walnut (SF),Costa Rican Cappuccino,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,12
2/4,Strawberry Shortcake,Maple Walnut (SF),Irish Mint,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,9
2/3,Strawberry Shortcake,Maple Walnut (SF),Irish Mint,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,11
2/2,Strawberry Shortcake,Caramel Pecan Toffee (SF),Irish Mint,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,13
2/1,None,None,None,None,Ghirardelli Chocolate,Vanilla Classic,0
1/31,Strawberry Shortcake,Caramel Pecan Toffee (SF),Peanut Butter Chocolate,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,17
1/30,Strawberry Shortcake,Caramel Pecan Toffee (SF),Peanut Butter Chocolate,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,23
1/29,NY Cheesecake,Caramel Pecan Toffee (SF),Peanut Butter Chocolate,Maine Blueberry,Ghirardelli Chocolate,Vanilla Classic,18
1/28,NY Cheesecake,White Chocolate Macadamia (SF),Peanut Butter Chocolate,Maine Blueberry,Ghirardelli Chocolate,Vanilla Classic,12
1/27,NY Cheesecake,White Chocolate Macadamia (SF),Maine Blueberry,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,11
1/26,NY Cheesecake,White Chocolate Macadamia (SF),Maine Blueberry,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,14
1/25,Butter Pecan,White Chocolate Macadamia (SF),Mounds Bar,Maine Blueberry,Ghirardelli Chocolate,Vanilla Classic,7
1/24,Butter Pecan,Caramel Custard (SF),Mounds Bar,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,18
1/23,Butter Pecan,Caramel Custard (SF),Mounds Bar,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,13
1/22,Fresh Blackberry,Caramel Custard (SF),Mounds Bar,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,8
1/21,Fresh Blackberry,Caramel Custard (SF),Hawaiian Coconut,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,9
1/20,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,13
1/19,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,19
1/18,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,10
1/17,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,7
1/16,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,3
1/15,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,7
1/14,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,8
1/13,Fresh Strawberry,Pistachio Cream (SF),Salted Caramel Pretzel (Low Fat),,Ghirardelli Chocolate,Vanilla Classic,13
1/12,Fresh Strawberry,Pistachio Cream (SF),Thin Mint Cookie,,Ghirardelli Chocolate,Vanilla Classic,5
1/11,None,None,None,None,Ghirardelli Chocolate,Vanilla Classic,None
1/10,Red Raspberry,Pistachio Cream (SF),Irish Mint,,Ghirardelli Chocolate,Vanilla Classic,15
1/9,Red Raspberry,Pistachio Cream (SF),Hazelnut Amaretto,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,7
1/8,Red Raspberry,Caramel Macadamia Cappuccino (SF),Rocky Road,White Cake Batter,Ghirardelli Chocolate,Vanilla Classic,12
1/7,Red Raspberry,Caramel Macadamia Cappuccino (SF),Rocky Road,White Cake Batter,Ghirardelli Chocolate,Vanilla Classic,6
1/6,Red Raspberry,Caramel Macadamia Cappuccino (SF),Rocky Road,White Cake Batter,Ghirardelli Chocolate,Vanilla Classic,8
1/5,Mango,Caramel Macadamia Cappuccino (SF),Rocky Road,White Cake Batter,Ghirardelli Chocolate,Vanilla Classic,9
1/4,Mango,Pecans & Pralines (SF),Rocky Road,White Cake Batter,Ghirardelli Chocolate,Vanilla Classic,8
1/3,Mango,Pecans & Pralines (SF),Rocky Road,White Cake Batter,Ghirardelli Chocolate,Vanilla Classic,9
1/2,Mango,Pecans & Pralines (SF),Raspberry Chocolate Truffle,Apple Pie,Ghirardelli Chocolate,Vanilla Classic,13
1/1,None,None,None,None,Ghirardelli Chocolate,Vanilla Classic,None